messier,type,ra,dec
M51,Spiral galaxy,13h 29m 52.7s,+47deg 11' 43"
M52,Open cluster,23h 24.2m,+61deg 35'
M53,Globular cluster,13h 12m 55.3s,+18deg 10' 05.4"
M54,Globular cluster,18h 55m 03.3s,-30deg 28' 47.5"
M55,Globular cluster,19h 39m 59.7s,-30deg 57' 53.1"
M56,Globular cluster,19h 16m 35.6s,+30deg 11' 00.5"
M57,Planetary nebula,18h 53m 35.1s,+33deg 01' 45.0"
M58,Barred Spiral galaxy,12h 37m 43.5s,+11deg 49' 05"
M59,Elliptical galaxy,12h 42m 02.3s,+11deg 38' 49"
M60,Elliptical galaxy,12h 43m 39.6s,+11deg 33' 09"
M61,Spiral galaxy,12h 21m 54.9s,+04deg 28' 25"
M62,Globular cluster,17h 01m 12.6s,-30deg 06' 44.5"
M63,Spiral galaxy,13h 15m 49.3s,+42deg 01' 45"
M64,Spiral galaxy,12h 56m 43.7s,+21deg 40' 58"
M65,Barred Spiral galaxy,11h 18m 55.9s,+13deg 05' 32"
M66,Barred Spiral galaxy,11h 20m 15.0s,+12deg 59' 30"
M67,Open cluster,08h 51.3m,+11deg 49'
M68,Globular cluster,12h 39m 28.0s,-26deg 44' 38.6"
M69,Globular cluster,18h 31m 23.1s,-32deg 20' 53.1"
M70,Globular cluster,18h 43m 12.8s,-32deg 17' 31.6"
M71,Globular cluster,19h 53m 46.5s,+18deg 46' 45.1"
M72,Globular cluster,20h 53m 27.7s,-12deg 32' 14.3"
M73,Asterism,20h 58m 54s,-12deg 38'
M74,Spiral galaxy,01h 36m 41.8s,+15deg 47' 01"
M75,Globular cluster,20h 06m 04.8s,-21deg 55' 16.2"
M76,Planetary nebula,01h 42.4m,+51deg 34' 31"
M77,Spiral galaxy,02h 42m 40.7s,-00deg 00' 48"
M78,Diffuse nebula,05h 46m 46.7s,+00deg 00' 50"
M79,Globular cluster,05h 24m 10.6s,-24deg 31' 27.3"
M80,Globular cluster,16h 17m 02.4s,-22deg 58' 33.9"
M81,Spiral galaxy,09h 55m 33.2s,+69deg 03' 55"
M82,Starburst galaxy,09h 55m 52.2s,+69deg 40' 47"
M83,Barred Spiral galaxy,13h 37m 00.9s,-29deg 51' 57"
M84,Lenticular galaxy,12h 25m 03.7s,+12deg 53' 13"
M85,Lenticular galaxy,12h 25m 24.0s,+18deg 11' 28"
M86,Lenticular galaxy,12h 26m 11.7s,+12deg 56' 46"
M87,Elliptical galaxy,12h 30m 49.4s,+12deg 23' 28.0"
M88,Spiral galaxy,12h 31m 59.2s,+14deg 25' 14"
M89,Elliptical galaxy,12h 35m 39.8s,+12deg 33' 23"
M90,Spiral galaxy,12h 36m 49.8s,+13deg 09' 46"
M91,Barred Spiral galaxy,12h 35m 26.4s,+14deg 29' 47"
M92,Globular cluster,17h 17m 07.4s,+43deg 08' 09.4"
M93,Open cluster,07h 44.6m,-23deg 52'
M94,Spiral galaxy,12h 50m 53.1s,+41deg 07' 14"
M95,Barred Spiral galaxy,10h 43m 57.7s,+11deg 42' 14"
M96,Spiral galaxy,10h 46m 45.7s,+11deg 49' 12"
M97,Planetary nebula,11h 14m 47.7s,+55deg 01' 08.5"
M98,Spiral galaxy,12h 13m 48.3s,+14deg 54' 01.7"
M99,Spiral galaxy,12h 18m 49.6s,+14deg 24' 59"
M100,Spiral galaxy,12h 22m 54.9s,+15deg 49' 21"
M101,Spiral galaxy,14h 03m 12.6s,+54deg 20' 57"
M102,Lenticular galaxy,15h 06m 29.5s,+55deg 45' 48"
M103,Open cluster,01h 33.2m,+60deg 42'
M104,Spiral galaxy,12h 39m 59.4s,-11deg 37' 23"
M105,Elliptical galaxy,10h 47m 49.6s,+12deg 34' 54"
M106,Spiral galaxy,12h 18m 57.5s,+47deg 18' 14"
M107,Globular cluster,16h 32m 31.9s,-13deg 03' 13.6"
M108,Barred Spiral galaxy,11h 11m 31.0s,+55deg 40' 27"
M109,Barred Spiral galaxy,11h 57m 36.0s,+53deg 22' 28"
M110,Dwarf elliptical galaxy,00h 40m 22.1s,+41deg 41' 07"
